Group,Gesture,Accuracy,Precision,Recall,F1 score
DM36,cop,53.8265,8.9431,37.0093,14.4052
DM37,cop,54.1232,9.011,36.9369,14.4876
DM11,deaf,62.3711,11.5942,40,17.9775
DM12,deaf,55.3299,6.962,27.5,11.1111
DM13,deaf,54.9738,8.0508,31.6667,12.8378
DM15,deaf,57.1429,9.0604,33.75,14.2857
DM16,deaf,56.7513,8.2474,31.3725,13.0612
DM18,deaf,53.4637,7.9395,33.3333,12.8244
DM19,deaf,53.0104,7.0853,30.137,11.4733
DM20,deaf,53.3575,7.6923,33.1325,12.4858
DM21,deaf,53.9894,7.625,32.6203,12.3607
DM22,deaf,52.9947,6.9042,29.9517,11.2217
DM23,deaf,53.6308,7.1061,30.3965,11.5192
DM24,deaf,54.3017,7.7652,32.8,12.5574
DM25,deaf,54.2604,7.6049,32.2222,12.3055
DM26,deaf,54.6919,8.0699,33.9161,13.0376
DM27,deaf,54.3364,8.3717,35.6209,13.5572
DM28,deaf,54.6851,8.303,34.5455,13.3881
DM29,deaf,54.117,8.4459,36.0231,13.6836
DM30,deaf,54.9009,8.4947,35.9788,13.7443
DM31,deaf,54.6529,8.3333,34.7395,13.4422
DM32,deaf,55.4361,8.4198,34.5154,13.5373
DM33,deaf,55.1593,7.9761,31.7495,12.7493
DM34,deaf,54.6507,7.76,31.0559,12.4172
DM35,deaf,54.9969,7.5613,29.783,12.0607
DM36,deaf,54.8077,7.512,29.7913,11.9985
DM37,deaf,54.5403,7.4874,29.7989,11.9677
DM11,decide,62.3711,3.5088,10,5.1948
DM12,decide,60.9137,9.8592,35,15.3846
DM13,decide,64.9215,9.2486,26.6667,13.7339
DM15,decide,66.4021,9.3458,25,13.6054
DM16,decide,66.802,8.209,21.3592,11.8598
DM18,decide,62.5917,6.2827,19.2,9.4675
DM19,decide,65.1903,6.357,17.8082,9.3694
DM20,decide,65.8802,6.9869,18.8235,10.1911
DM21,decide,66.8085,6.9721,18.2292,10.0865
DM22,decide,65.1653,5.9727,16.5877,8.7829
DM23,decide,66.273,5.8824,15.5844,8.5409
