Group,Gesture,Accuracy,Precision,Recall,F1 score
DM33,about,61.199,10.3767,28.9668,15.2798
DM34,about,61.3373,10.8942,30.7829,16.093
DM35,about,60.6376,10.7122,30.7953,15.8952
DM36,about,60.832,10.5083,30.0163,15.5668
DM37,about,60.7962,10.4247,29.8578,15.4538
DM11,and,43.299,3.125,15,5.1724
DM12,and,49.4924,4.5714,20,7.4419
DM13,and,57.9407,9.417,35,14.841
DM15,and,57.0106,7.9038,28.75,12.3989
DM16,and,54.7208,7.8818,30.7692,12.549
DM18,and,56.4792,8.4189,31.7829,13.3117
DM19,and,55.0865,9.6248,38.3117,15.3846
DM20,and,55.3539,9.7143,39.0805,15.5606
DM21,and,54.4681,8.875,35.8586,14.2285
DM22,and,55.103,8.9143,35.7798,14.2726
DM23,and,54.4619,8.5655,34.8739,13.7531
DM24,and,54.4618,9.6596,40.2299,15.5786
DM25,and,54.5924,9.1222,37.7224,14.6916
DM26,and,55.042,9.3827,38.3838,15.0794
DM27,and,54.9606,9.098,36.6771,14.5794
DM28,and,55.2381,8.9036,35.5882,14.2437
DM29,and,54.5534,8.4312,33.9833,13.5105
DM30,and,55.4822,8.5826,32.1168,13.5454
DM31,and,55.1811,8.3847,31.4815,13.2425
DM32,and,56.1529,8.4337,30.7692,13.2388
DM33,and,55.8948,8.4594,30.4435,13.2398
DM34,and,56.2152,8.4783,30.2913,13.2484
DM35,and,55.4261,8.0957,29.7196,12.7251
DM36,and,55.7104,7.9921,29.2419,12.5533
DM37,and,55.6588,7.9924,29.3194,12.5607
DM11,can,66.4948,13.1148,40,19.7531
DM12,can,70.5584,10.4167,25,14.7059
DM13,can,67.5393,10.1266,26.6667,14.6789
DM15,can,67.0635,10.3286,27.5,15.0171
DM16,can,66.1929,10.2113,27.1028,14.8338
DM18,can,67.7262,11.3372,30,16.4557
DM19,can,68.9273,11.7949,30.4636,17.0055
DM20,can,69.147,12.2768,31.9767,17.7419
DM21,can,68.4043,11.7871,32.2917,17.2702
DM22,can,67.8007,11.1864,30.8411,16.4179
DM23,can,66.4917,10.6509,30.7692,15.8242
DM24,can,66.7067,11.2752,32.9412,16.8
DM25,can,66.4699,10.9606,32.3636,16.3753
DM26,can,65.8613,10.7798,32.3024,16.1651
DM27,can,65.933,10.3712,30.5466,15.4849
DM28,can,65.0691,10.8844,33.7349,16.4585
DM29,can,65.144,10.6244,32.2946,15.9888
DM30,can,64.4122,11.0294,34.3511,16.6976
DM31,can,64.6378,10.83,33.012,16.3095
DM32,can,63.7515,10.3953,32.6437,15.769
DM33,can,63.0265,10.054,31.3684,15.2274
DM34,can,62.8375,10.0065,31.3131,15.1663
DM35,can,62.6405,9.8712,31.0212,14.9767
DM36,can,62.4804,9.6888,30.6122,14.719
DM37,can,62.673,9.8519,30.9481,14.946
DM11,cop,59.2784,7.2464,25,11.236
DM12,cop,53.2995,6.6265,27.5,10.6796
DM13,cop,55.8464,8.2251,31.6667,13.0584
DM15,cop,56.6138,11.25,45,18
DM16,cop,56.7513,10.8434,44.5545,17.4419
DM18,cop,56.0717,10.325,43.5484,16.6924
DM19,cop,57.5779,10.339,42.069,16.5986
DM20,cop,57.1688,10.8382,45.1807,17.4825
DM21,cop,57.9787,10.8073,44.1489,17.364
DM22,cop,56.7322,10.2975,43.0622,16.6205
DM23,cop,57.2616,9.9572,40.6114,15.9931
DM24,cop,57.6631,9.6806,38.8,15.4952
DM25,cop,57.4327,9.0825,36.1624,14.5185
DM26,cop,57.2829,9.0351,36.014,14.446
DM27,cop,56.4717,8.8188,35.5049,14.1283
DM28,cop,56.6513,8.8213,35.3659,14.1205
DM29,cop,56.9683,8.8792,34.957,14.1613
DM30,cop,56.856,9.7403,38.1679,15.5199
DM31,cop,56.7907,9.4854,37.2263,15.1186
DM32,cop,56.6308,10.0058,40.0463,16.0111
DM33,cop,55.9617,9.5264,37.5,15.1931
DM34,cop,56.0437,9.4644,36.9919,15.0725
DM35,cop,56.0188,9.6997,38.2524,15.4753
DM36,cop,55.9655,9.826,39.0654,15.7025
DM37,cop,56.019,9.7216,38.3784,15.5135
DM11,deaf,56.701,6.7568,25,10.6383
DM12,deaf,52.0305,3.7267,15,5.9701
DM13,deaf,54.6248,9.3496,38.3333,15.0327
DM15,deaf,51.5873,7.4405,31.25,12.0192
DM16,deaf,49.5431,6.2084,27.451,10.1266
DM18,deaf,46.4548,7.2464,35.7143,12.0482
DM19,deaf,47.2664,6.6197,32.1918,10.9813
DM20,deaf,48.2154,7.4074,36.1446,12.2951
DM21,deaf,48.5106,7.6004,37.4332,12.6354
DM22,deaf,47.3407,6.9498,34.7826,11.5849
DM23,deaf,48.0752,7.2954,36.1233,12.1392
DM24,deaf,48.7795,8.1301,40,13.5135
DM25,deaf,48.211,7.7496,38.5185,12.9032
DM26,deaf,48.6345,8.1502,40.2098,13.5533
DM27,deaf,47.8975,8.4416,42.4837,14.0845
DM28,deaf,48.2642,8.3128,40.9091,13.8178
DM29,deaf,47.9488,8.4677,42.3631,14.1143
DM30,deaf,48.745,8.5896,42.8571,14.311
DM31,deaf,48.3149,8.3249,40.9429,13.8365
DM32,deaf,49.2473,8.5324,41.3712,14.1471
DM33,deaf,48.83,8.1316,38.4449,13.4238
DM34,deaf,48.3712,7.9843,37.8882,13.1892
DM35,deaf,48.8862,7.9325,37.0809,13.0692
DM36,deaf,48.6068,7.8566,37.0019,12.9611
DM37,deaf,48.3412,8.0831,38.3912,13.3545
DM11,decide,63.4021,5.2632,15,7.7922
DM12,decide,65.2284,11.811,37.5,17.9641
DM13,decide,66.1431,9.1463,25,13.3929
DM15,decide,68.6508,9.3264,22.5,13.1868
DM16,decide,70.3553,9.0909,20.3883,12.5749
DM18,decide,66.8297,6.7485,17.6,9.7561
DM19,decide,68.7197,6.2857,15.0685,8.871
DM20,decide,69.752,7.9082,18.2353,11.032
DM21,decide,70.6915,7.7647,17.1875,10.6969
DM22,decide,68.8069,6.6929,16.1137,9.4576
DM23,decide,70.1225,7.3585,16.8831,10.2497
DM24,decide,70.068,7.2539,16.6008,10.0962
DM25,decide,69.3471,7.5153,17.6895,10.549
DM26,decide,69.6779,7.6809,17.7474,10.7216
DM27,decide,69.3167,7.8912,18.4127,11.0476
DM28,decide,69.7081,7.6723,17.6119,10.6884
DM29,decide,68.5191,7.1006,16.8067,9.9834
DM30,decide,68.9828,6.7318,16.4456,9.5532
DM31,decide,68.9638,6.6597,15.9601,9.3979
DM32,decide,69.5818,6.6394,15.3302,9.2659
DM33,decide,68.7542,6.4126,14.8707,8.961
DM34,decide,68.7955,6.295,14.4628,8.7719
DM35,decide,69.5483,6.6901,15.0198,9.257
DM36,decide,69.2504,7.0899,16.3498,9.8907
DM37,decide,69.0806,7.7821,18.315,10.923
DM11,father,44.8454,10.0917,55,17.0543
DM12,father,50.5076,10.2564,50,17.0213
DM13,father,51.3089,8.9888,40,14.6789
DM15,father,53.5714,8.5627,35,13.7592
DM16,father,51.7766,7.3059,31.6832,11.8738
DM18,father,52.9747,7.9926,34.4,12.9713
DM19,father,51.4879,7.362,33.1034,12.0452
DM20,father,52.6316,8.9096,40.6061,14.6129
DM21,father,52.6064,8.0856,36.5591,13.2425
DM22,father,52.851,7.7174,34.466,12.611
DM23,father,53.6308,8.3,36.7257,13.54
DM24,father,53.7815,8.5766,38.0567,13.9985
DM25,father,53.4489,8.2422,36.4312,13.4431
DM26,father,52.8711,8.123,36.2676,13.2732
DM27,father,52.2668,7.8503,35.1974,12.8374
DM28,father,51.275,7.4224,33.9506,12.1816
DM29,father,51.7312,7.3377,32.7536,11.9894
DM30,father,52.4703,7.2967,32.8841,11.9432
DM31,father,51.7354,6.9335,31.4578,11.3626
DM32,father,51.8757,7.2495,33.1707,11.8985
DM33,father,51.0809,6.7614,32.093,11.1696
DM34,father,51.6288,6.9557,32.4444,11.4555
DM35,father,51.7678,7.2043,33.758,11.8745
DM36,father,52.0408,7.4139,34.6232,12.2126
DM37,father,52.6256,7.8456,36.2035,12.8965
DM11,find,57.2165,4.3478,15,6.7416
DM12,find,61.4213,4.8387,15,7.3171
