Group,Gesture,Accuracy,Precision,Recall,F1 score
DM10,deaf,77.7778,66.6667,100,80
DM11,deaf,77.7778,75,75,75
DM12,deaf,88.8889,80,100,88.8889
DM13,deaf,94.1176,100,87.5,93.3333
DM15,deaf,88.2353,87.5,87.5,87.5
DM16,deaf,85,75,100,85.7143
DM18,deaf,89.4737,83.3333,100,90.9091
DM19,deaf,83.3333,77.7778,87.5,82.3529
DM20,deaf,94.4444,88.8889,100,94.1176
DM21,deaf,94.7368,88.8889,100,94.1176
DM22,deaf,83.3333,100,62.5,76.9231
DM23,deaf,88.8889,87.5,87.5,87.5
DM24,deaf,85.7143,87.5,77.7778,82.3529
DM25,deaf,77.7778,70,87.5,77.7778
DM26,deaf,80,66.6667,100,80
DM27,deaf,76.4706,83.3333,62.5,71.4286
DM28,deaf,94.7368,90.9091,100,95.2381
DM29,deaf,66.6667,100,28.5714,44.4444
DM30,deaf,78.2609,73.3333,91.6667,81.4815
DM31,deaf,89.4737,83.3333,100,90.9091
DM32,deaf,88.8889,80,100,88.8889
DM33,deaf,96.875,94.1176,100,96.9697
DM34,deaf,82.3529,72.7273,100,84.2105
DM35,deaf,89.4737,100,80,88.8889
DM36,deaf,88.8889,100,75,85.7143
DM37,deaf,70.5882,71.4286,62.5,66.6667
DM1,decide,94.7368,100,87.5,93.3333
DM2,decide,94.4444,88.8889,100,94.1176
DM3,decide,83.3333,77.7778,87.5,82.3529
DM4,decide,100,100,100,100
DM5,decide,100,100,100,100
DM6,decide,87.5,77.7778,100,87.5
DM7,decide,94.1176,100,87.5,93.3333
DM8,decide,78.9474,75,75,75
DM9,decide,82.3529,77.7778,87.5,82.3529
DM10,decide,88.8889,100,75,85.7143
DM11,decide,88.8889,100,75,85.7143
DM12,decide,94.4444,100,87.5,93.3333
DM13,decide,94.1176,100,87.5,93.3333
DM15,decide,88.2353,80,100,88.8889
DM16,decide,90.4762,100,77.7778,87.5
DM18,decide,85,80,88.8889,84.2105
DM19,decide,100,100,100,100
DM20,decide,94.7368,100,90,94.7368
DM21,decide,95,90,100,94.7368
DM22,decide,83.3333,100,62.5,76.9231
DM23,decide,100,100,100,100
DM24,decide,95,100,88.8889,94.1176
DM25,decide,84.2105,88.8889,80,84.2105
DM26,decide,86.6667,100,66.6667,80
