Group,Gesture,Accuracy,Precision,Recall,F1 score
DM27,cop,88.8889,80,100,88.8889
DM28,cop,94.7368,100,87.5,93.3333
DM29,cop,77.7778,66.6667,100,80
DM30,cop,69.4444,64,88.8889,74.4186
DM31,cop,100,100,100,100
DM32,cop,94.7368,100,87.5,93.3333
DM33,cop,87.5,87.5,87.5,87.5
DM34,cop,76.4706,66.6667,100,80
DM35,cop,71.4286,66.6667,66.6667,66.6667
DM36,cop,88.8889,100,75,85.7143
DM37,cop,58.8235,66.6667,25,36.3636
DM1,deaf,84.2105,100,62.5,76.9231
DM2,deaf,83.3333,72.7273,100,84.2105
DM3,deaf,85,75,100,85.7143
DM4,deaf,85,100,66.6667,80
DM5,deaf,88.8889,80,100,88.8889
DM6,deaf,90.4762,88.8889,88.8889,88.8889
DM7,deaf,76.4706,66.6667,100,80
DM8,deaf,78.9474,70,87.5,77.7778
DM9,deaf,57.8947,53.8462,77.7778,63.6364
DM10,deaf,83.3333,72.7273,100,84.2105
DM11,deaf,83.3333,72.7273,100,84.2105
DM12,deaf,77.7778,70,87.5,77.7778
DM13,deaf,94.1176,100,87.5,93.3333
DM15,deaf,82.3529,85.7143,75,80
DM16,deaf,80,69.2308,100,81.8182
DM18,deaf,89.4737,83.3333,100,90.9091
DM19,deaf,77.7778,70,87.5,77.7778
DM20,deaf,94.4444,88.8889,100,94.1176
DM21,deaf,78.9474,66.6667,100,80
DM22,deaf,88.8889,87.5,87.5,87.5
DM23,deaf,88.8889,80,100,88.8889
DM24,deaf,80.9524,77.7778,77.7778,77.7778
DM25,deaf,94.4444,88.8889,100,94.1176
DM26,deaf,60,50,83.3333,62.5
DM27,deaf,70.5882,80,50,61.5385
DM28,deaf,89.4737,100,80,88.8889
DM29,deaf,66.6667,66.6667,57.1429,61.5385
DM30,deaf,73.913,75,75,75
DM31,deaf,94.7368,90.9091,100,95.2381
DM32,deaf,88.8889,80,100,88.8889
DM33,deaf,96.875,94.1176,100,96.9697
DM34,deaf,76.4706,66.6667,100,80
DM35,deaf,89.4737,100,80,88.8889
DM36,deaf,83.3333,85.7143,75,80
DM37,deaf,70.5882,63.6364,87.5,73.6842
DM1,decide,94.7368,100,87.5,93.3333
DM2,decide,88.8889,80,100,88.8889
DM3,decide,61.1111,60,37.5,46.1538
DM4,decide,100,100,100,100
DM5,decide,94.4444,100,87.5,93.3333
DM6,decide,100,100,100,100
DM7,decide,94.1176,100,87.5,93.3333
DM8,decide,73.6842,71.4286,62.5,66.6667
DM9,decide,88.2353,80,100,88.8889
DM10,decide,88.8889,100,75,85.7143
DM11,decide,77.7778,83.3333,62.5,71.4286
DM12,decide,83.3333,100,62.5,76.9231
DM13,decide,88.2353,87.5,87.5,87.5
DM15,decide,88.2353,87.5,87.5,87.5
DM16,decide,85.7143,100,66.6667,80
DM18,decide,80,100,55.5556,71.4286
DM19,decide,89.4737,80,100,88.8889
DM20,decide,89.4737,100,80,88.8889
DM21,decide,95,90,100,94.7368
DM22,decide,77.7778,70,87.5,77.7778
DM23,decide,100,100,100,100
DM24,decide,95,100,88.8889,94.1176
DM25,decide,84.2105,81.8182,90,85.7143
DM26,decide,66.6667,60,50,54.5455
DM27,decide,78.9474,100,55.5556,71.4286
DM28,decide,100,100,100,100
DM29,decide,100,100,100,100
DM30,decide,94.1176,100,87.5,93.3333
DM31,decide,100,100,100,100
DM32,decide,85.7143,87.5,77.7778,82.3529
DM33,decide,93.75,100,87.5,93.3333
DM34,decide,88.2353,100,75,85.7143
